obj/carrier submission/Id    Sequence
obj/carrier submission/Carrier    Carrier
obj/carrier submission/Rater    Rater
obj/carrier submission/BusinessType    BusinessType
obj/carrier submission/Insured    ['AdditionalInsured']
obj/carrier submission/Insured/Name    Name
obj/carrier submission/Insured/DoingBusinessAs    DoingBusinessAs
obj/carrier submission/Insured/Address    ['Address2']
obj/carrier submission/Insured/Address/Address1    Address1
obj/carrier submission/Insured/Address/Address2    Address2
obj/carrier submission/Insured/Address/City    City
obj/carrier submission/Insured/Address/State    State
obj/carrier submission/Insured/Address/ZipCode    ZipCode
obj/carrier submission/Insured/Address/County    County
obj/carrier submission/Insured/Address/Quadrant    Quadrant
obj/carrier submission/Insured/ForeignAddress    ['Address2']
obj/carrier submission/RetailAgency    RetailAgency
obj/carrier submission/EffectiveDate    EffectiveDate
obj/carrier submission/ExpirationDate    ExpirationDate
obj/carrier submission/Locations    ['LocationSequence']
obj/carrier submission/CommercialGeneralLiability    ['CommercialLinesProperty']
obj/carrier submission/CommercialGeneralLiability/OccurenceLimit    OccurenceLimit
obj/carrier submission/CommercialGeneralLiability/AggregateLimit    AggregateLimit
obj/carrier submission/CommercialGeneralLiability/ProductsCompletedOperationsLimit    ProductsCompletedOperationsLimit
obj/carrier submission/CommercialGeneralLiability/MedicalExpensesLimit    MedicalExpensesLimit
obj/carrier submission/CommercialGeneralLiability/DamageToPremesisRentedToYouLimit    DamageToPremesisRentedToYouLimit
obj/carrier submission/CommercialGeneralLiability/PersonalInjuryAndAdvertisingLimit    ['PersonalInjuryAndAdvertisingLimit']
obj/carrier submission/CommercialGeneralLiability/PremOpsDeductible    PremOpsDeductible
obj/carrier submission/CommercialGeneralLiability/ProdOpsDeductible    ProdOpsDeductible
obj/carrier submission/CommercialGeneralLiability/ProfessionalIncidentLimit    ProfessionalIncidentLimit
obj/carrier submission/CommercialGeneralLiability/Classifications    ['ClassCode']
obj/carrier submission/CommercialGeneralLiability/Premium    Premium
obj/carrier submission/CommercialLinesProperty    CommercialLinesProperty
obj/carrier submission/PersonalLinesLiability    PersonalLinesLiability
obj/carrier submission/PersonalLinesProperty    PersonalLinesProperty
obj/carrier submission/InlandMarine    InlandMarine
obj/carrier submission/LiquorLiability    LiquorLiability
obj/carrier submission/Terrorism    Terrorism
